day,vis,tmp,dew,slp,wnd_direc,wnd_scale,pm25,pm10,o3,no2,so2,co,AQI,Determining_Pollutant
2014-01-01,8511.111111111111,3.5781818181818177,-14.11964285714286,1016.7625,295.50690078308253,29.373933433007146,125.0,136.0,4.0,44.0,45.0,39.0,325,co
2014-01-02,6976.086956521739,1.8428571428571427,-8.70892857142857,1018.425,0.3977799956569477,17.263294255334362,218.0,79.0,22.0,20.0,15.0,22.0,268,pm25
2014-01-03,16818.0,1.7375,-12.319642857142856,1024.0375,44.01742442947101,12.950575223673708,127.0,109.0,3.0,37.0,26.0,32.0,267,co
2014-01-04,3820.3703703703695,-2.7285714285714286,-7.575000000000001,1022.15,4.732297024271522,18.168838494211165,213.0,74.0,16.0,32.0,23.0,24.0,263,pm25
2014-01-05,6860.526315789473,0.7374999999999999,-9.673214285714286,1026.1374999999998,57.44196382071774,9.710077174320356,168.0,91.0,4.0,33.0,30.0,22.0,219,pm25
2014-01-06,2692.5925925925926,-1.480357142857143,-5.560714285714286,1025.4375,118.36950915692437,9.269955290035208,204.0,69.0,19.0,27.0,21.0,22.0,254,pm25
2014-01-07,13340.0,-0.2142857142857143,-16.864285714285714,1029.4625,10.75063742851972,34.46103530525722,178.0,17.0,21.0,7.0,7.0,11.0,229,pm25
2014-01-08,29500.0,-4.194545454545454,-23.77636363636364,1033.8625000000002,326.59320663635657,36.51717976265773,65.0,42.0,22.0,14.0,9.0,13.0,145,co
2014-01-09,17750.0,-5.269642857142857,-24.716363636363635,1031.475,317.3207817731424,21.348451713994823,92.0,77.0,5.0,33.0,31.0,23.0,195,co
2014-01-10,7881.818181818182,-4.319642857142857,-21.941071428571423,1031.5,310.3375223052463,5.065030486446308,160.0,120.0,3.0,48.0,47.0,34.0,283,co
2014-01-11,8521.052631578947,-1.3839285714285714,-21.20363636363636,1031.5749999999998,334.2861266795792,20.03212203446895,218.0,36.0,22.0,16.0,11.0,12.0,268,pm25
2014-01-12,10296.296296296296,-3.767857142857143,-22.28928571428571,1035.875,323.5806821904359,11.89335083427024,76.0,97.0,6.0,40.0,43.0,29.0,242,co
2014-01-13,6281.818181818182,-4.723214285714286,-18.735714285714288,1032.125,24.74128721518905,11.69854878795244,190.0,94.0,5.0,38.0,46.0,30.0,250,co
2014-01-14,6080.555555555556,-3.7777777777777777,-17.049999999999997,1034.2125,269.66534050475025,3.213514349696238,190.0,162.0,6.0,46.0,47.0,36.0,300,co
2014-01-15,4075.0,-0.975,-13.847272727272728,1029.575,61.30394037833257,3.3347797713519167,249.0,340.0,7.0,58.0,58.0,47.0,392,co
2014-01-16,3148.214285714286,-0.3767857142857142,-7.951785714285713,1029.4499999999998,124.89398670691878,18.100674923008,466.0,88.0,14.0,31.0,33.0,24.0,478,pm25
2014-01-17,5892.307692307692,-0.0499999999999999,-16.39423076923077,1032.3000000000002,312.4904675600985,24.23963740281624,228.0,57.0,14.0,32.0,22.0,19.0,278,pm25
2014-01-18,6621.951219512195,0.625,-13.512962962962964,1031.8125,145.98746982694416,15.132169551157563,134.0,125.0,26.0,33.0,40.0,28.0,233,co
2014-01-19,6406.25,0.3999999999999999,-14.9,1024.7,319.1630429834848,51.93602809780957,185.0,30.0,24.0,7.0,3.0,11.0,236,pm25
2014-01-20,30000.0,-0.7727272727272727,-21.85818181818182,1032.1875,325.62925293290954,73.32611107830085,42.0,36.0,18.0,21.0,18.0,17.0,165,co
2014-01-21,7519.444444444444,-2.5767857142857147,-20.36428571428572,1030.0375,261.63315373331415,2.191767904118385,95.0,102.0,6.0,44.0,46.0,27.0,225,co
2014-01-22,4945.454545454545,-2.458928571428572,-17.155357142857145,1022.3125,28.39209546333255,9.009865616776016,211.0,173.0,2.0,56.0,66.0,41.0,342,co
2014-01-23,3010.714285714286,-1.6785714285714286,-12.475,1015.6125,3.0787394912711834,18.34984304043813,339.0,103.0,7.0,39.0,39.0,26.0,389,pm25
2014-01-24,5450.0,3.242857142857143,-18.67142857142857,1020.075,9.011940701244388,25.312296374512588,221.0,37.0,26.0,18.0,12.0,16.0,271,pm25
2014-01-25,13624.5,0.9428571428571428,-15.873214285714283,1030.3874999999998,63.23797878384295,16.96483675414535,98.0,58.0,21.0,18.0,21.0,15.0,155,co
2014-01-26,6048.275862068966,-1.9392857142857145,-10.508928571428571,1025.0625,156.85815532702188,15.013741214164783,122.0,83.0,22.0,29.0,33.0,19.0,175,co
2014-01-27,7832.142857142857,1.6107142857142858,-17.95714285714286,1022.375,354.5685377918395,35.12649970798494,157.0,54.0,23.0,16.0,12.0,15.0,208,pm25
2014-01-28,8171.428571428572,-0.9053571428571427,-11.664285714285713,1025.25,157.33387720111918,21.66827537775633,109.0,97.0,9.0,31.0,38.0,26.0,217,co
2014-01-29,4837.5,-1.3107142857142855,-10.2625,1013.9875,8.835381702537747,14.761589522764073,208.0,62.0,27.0,16.0,20.0,17.0,258,pm25
2014-01-30,7281.25,1.7375000000000005,-15.169642857142858,1019.625,105.64891123593672,17.065187328156192,126.0,132.0,14.0,18.0,38.0,17.0,166,pm25
2014-01-31,3960.714285714286,1.5178571428571428,-5.348214285714286,1019.05,13.382650489346227,14.068857958111764,220.0,95.0,2.0,24.0,34.0,22.0,270,pm25
2014-02-01,3132.1428571428573,2.539285714285714,-2.055357142857143,1014.6,170.5645712866843,11.685580324510536,211.0,73.0,29.0,11.0,11.0,20.0,261,pm25
2014-02-02,15653.846153846154,3.441071428571429,-24.634,1018.875,352.57856492605214,59.67291019874582,117.0,30.0,28.0,4.0,3.0,18.0,170,co
